MMS	Field_035	Title	Field_540
	ebc6532974	99988208804	Fanning the flames : propaganda in modern Japan / edited by Kaoru Ueda ; with essays by Michael R. Auslin [and nine others].	
	ybp17292068	40030552037	The Auditory setting : environmental sounds in film and media arts / Budhaditya Chattopadhyay.	
	ybp302067601	40030552027	Cognition and work : a study concerning the value and limits of the pragmatic motifs in the cognition of the world / Max Scheler ; translated from the German by Zachary Davis.	
	ybp16985945	40030552033	Confucianism and Deweyan pragmatism : resources for a new geopolitics of interdependence / edited by Roger T. Ames, Chen Yajun, and Peter D. Hershock.	
	ebs733102	99988208806	Discipline and punish : the birth of the prison / Michel Foucault ; translated from the French by Alan Sheridan.	
	ebc4682924	99988208803	Fifty places to drink beer before you die : beer experts share the world's greatest destinations / Chris Santella ; foreword by Jim Koch.	
	ebc5235143	99988208799	High on the hog : a culinary journey from Africa to America / Jessica B. Harris.	
	ebc6458058	99988208798	High-impact tools for teams : you're holding a powerful toolkit to create alignment, build trust, and get results fast. Rediscover the joy of teamwork with these five ... / written by Stefano Mastrogiacomo, Alex Osterwalder ; designed by Alan Smith, Trish Papadakos.	
	ebc6452609	99988209502	Qualitative research in communication disorders : an introduction for students and clinicians / Rena Lyons and Lindy McAllister (Eds)	
	ebc6511345	99988209499	Reconsidering the life of power : ritual, body, and art in critical theory and Chinese philosophy / James Garrison.	
	ybp302195847	40030552043	First Isaiah and the disappearance of the gods / Matthew J. Lynch.	
	ybp302019353	40030552039	Race in young adult speculative fiction / edited by Meghan Gilbert-Hickey and Miranda A. Green-Barteet.	
	ybp17103033	40030552060	State and Nature : Studies in Ancient and Medieval Philosophy / edited by Peter Adamson, Christof Rapp.	
	ebc1594818	99988209508	The Moulin Rouge and Black rights in Las Vegas [electronic resource] : a history of the first racially integrated hotel-casino / Earnest N. Bracey.	
	ybp302044978	40030552036	Sound change / Joseph Salmons.	
	ybp16812895	40030552024	William Greaves : filmmaking as mission / edited by Scott MacDonald and Jacqueline Najuma Stewart.	
	ebc6038294	99988209516	Introduction to Health Research Methods : a practical guide / Kathryn H. Jacobsen.	
	ybp17278464	40030552044	Women's ways of making / edited by Maureen Daly Goggin and Shirley K. Rose.	
	ybp16828557	40030552059	Elements of tragedy in Flavian epic / edited by Sophia Papaioannou and Agis Marinis.	
	ebs2755810	99988208805	Essentials of food science / Vickie A. Vaclavik, Elizabeth W. Christian, Tad Campbell.	
	ebs2757647	99988209507	Mujeres del alma mía : sobre el amor impaciente, la vida larga y las brujas buenas / Isabel Allende.	
	ebc6166910	99988209515	The invincible company / written by Alexander Osterwalder, Yves Pigneur, Fred Etiemble, Alan Smith.	
	ebc6174469	99988209513	Language and literacy development : English learners with communication disorders, from theory to application / Linda I. Rosa-Lugo, EdD, CCC-SLP, Florin M. Mihai, PhD, Joyce W. Nutta, PhD.	
	ebs1592584	99988209506	No ashes in the fire : coming of age black & free in America / Darnell L. Moore.	
	ebc6242445	99988209512	Late Victorian orientalism : representations of the East in nineteenth-century literature, art and culture from the Pre-Raphaelites to John La Farge / [edited by] Eleonora Sasso.	
	ebc5807903	99988210431	Making Black scientists : a call to action / Marybeth Gasman, Thai-Huy Nguyen.	
	ybp11963702	99988208827	American smuggling as white collar crime / Lawrence Karson.	
	ybp16431025	99988208826	Applied communication research methods : getting started as a researcher / Michael P. Boyle and Mike Schmierbach.	
	ebc6511346	99988209509	More than our pain : affect and emotion in the era of Black Lives Matter / edited by Beth Hinderliter and Steve Peraza.	
