Batch	Flag	MMS	OCLC	Details	Title
	CHECK-Multi050	990206730950306576	(OCoLC)24952905	050-1: PS173.N4M67 1992 050-2: PS173.B53M67 1992	Playing in the dark : whiteness and the literary imagination / Toni Morrison.
	CHECK-Series490-traced	990206730950306576	(OCoLC)24952905	Series statement (traced): The William E. Massey, Sr. lectures in the history of American civilization ;1990	
	CHECK-ENCODING	990206926810306576	(OCoLC)491930210	Encoding level: a	Critical thinking in counselling and psychotherapy / Colin Feltham.
	CHECK-ENCODING	990208017390306576	(OCoLC)39812371	Encoding level: 0	Love in a dead language : a romance / Lee Siegel.
	CHECK-ENCODING	990209830100306576	(OCoLC)183612599	Encoding level: a	The book thief / by Markus Zusak; illustrations by Trudy White.
	CHECK-Multi050	990209830100306576	(OCoLC)183612599	050-1: PR9619.4.Z87B66 2007 050-2: PZ7.Z837Boo 2007	The book thief / by Markus Zusak; illustrations by Trudy White.
	CHECK-Multi050	990210909610306576	(OCoLC)335062	050-1: N6538.N5L6 1968x 050-2: N6538.B535L6 1968	The Negro in art; a pictorial record of the Negro artist and of the Negro theme in art. Edited and annotated by Alain Locke.
	CHECK-ENCODING	990212759170306576	(OCoLC)52039575	Encoding level: a	Love / Toni Morrison.
	CHECK-ENCODING	990220360940306576	(OCoLC)312730224	Encoding level: a	Democracy and other neoliberal fantasies : communicative capitalism and left politics / Jodi Dean.
	CHECK-ENCODING	990222446710306576	(OCoLC)44803067	Encoding level: a	Building a new land : African Americans in Colonial America / James Haskins and Kathleen Benson ; illustrated by James Ransome.
	CHECK-Series490-traced	990222446710306576	(OCoLC)44803067	Series statement (traced): From African beginningsFTaSU	
	CHECK-ENCODING	990224110670306576	(OCoLC)34576655	Encoding level: 0	The psychology of values / edited by Clive Seligman, James M. Olson, Mark P. Zanna.
	EDIT-440	990224110670306576	(OCoLC)34576655	Series, obsolete field: The Ontario symposium ;v. 8	
	EDIT-Series490-untraced	990224110670306576	(OCoLC)34576655	Series statement (untraced): The Ontario symposium ;v. 8FBoU	
	CHECK-ENCODING	990225664750306576	(OCoLC)173092402	Encoding level: 0	A body of water / by Lee Blessing.
	CHECK-ENCODING	990226450750306576	(OCoLC)651486812	Encoding level: a	Site-specific performance / Mike Pearson.
	CHECK-ENCODING	990230217460306576	(OCoLC)36865748	Encoding level: 0	African American identity development / Reginald L. Jones, editor.
	CHECK-ENCODING	990231707860306576	(OCoLC)35559204	Encoding level: 0	The road less traveled and beyond : spiritual growth in an age of anxiety / M. Scott Peck.
	CHECK-ENCODING	990236283430306576	(OCoLC)36728033	Encoding level: a	In her own voice : nineteenth-century American women essayists / edited by Sherry Lee Linkon.
	CHECK-Series490-traced	990236283430306576	(OCoLC)36728033	Series statement (traced): Gender and genre in literature ;v. 9	
	CHECK-Series490-traced	990236283430306576	(OCoLC)36728033	Series statement (traced): Garland reference library of the humanities ;v. 2043	
	CHECK-MultipleSeries490	990236283430306576	(OCoLC)36728033	Check Bib record	In her own voice : nineteenth-century American women essayists / edited by Sherry Lee Linkon.
	CHECK-ENCODING	990250897150306576	(OCoLC)706024203	Encoding level: 0	The Penguin anthology of twentieth-century American poetry / edited with an introduction by Rita Dove.
	CHECK-ENCODING	990251216510306576	(OCoLC)38885545	Encoding level: a	On liberal peace : democracy, war, and the international order / John MacMillan.
	CHECK-Multi050	990251216510306576	(OCoLC)38885545	050-1: JZ1305.M32 1998 050-2: JC574.M33 1998	On liberal peace : democracy, war, and the international order / John MacMillan.
	CHECK-Series490-traced	990251216510306576	(OCoLC)38885545	Series statement (traced): The library of international relations ;4	
	CHECK-ENCODING	990251221750306576	(OCoLC)55112154	Encoding level: 0	In search of our mothers' gardens : womanist prose / Alice Walker.
	EDIT-Series490-untraced	990251221750306576	(OCoLC)55112154	Series statement (untraced): A Harvest bookFSsNC	
	CHECK-ENCODING	990259992930306576	(OCoLC)70199853	Encoding level: 0	Picturing the city in medieval Italian painting / Felicity Ratté.
	CHECK-ENCODING	990275180910306576	(OCoLC)23868138	Encoding level: a	Perestroika-era politics : the new Soviet legislature and Gorbachev's political reforms / edited by Robert T. Huber and Donald R. Kelley.
	EDIT-440	990275180910306576	(OCoLC)23868138	Series, obsolete field: Contemporary Soviet politics	
	EDIT-Series490-untraced	990275180910306576	(OCoLC)23868138	Series statement (untraced): Contemporary Soviet politicsFBoU	
	CHECK-ENCODING	990279584880306576	(OCoLC)25410774	Encoding level: a	Neural networks for vision and image processing / edited by Gail A. Carpenter and Stephen Grossberg.
	CHECK-ENCODING	990307085820306576	(OCoLC)785077613	Encoding level: 0	The end of men : and the rise of women / Hanna Rosin.
	CHECK-ENCODING	990308013020306576	(OCoLC)729341495	Encoding level: 0	One flew over the cuckoo's nest / Ken Kesey.
	CHECK-Series490-traced	990308013020306576	(OCoLC)729341495	Series statement (traced): Penguin great books of the 20th century	
	CHECK-ENCODING	990321645380306576	(OCoLC)838415643	Encoding level: 0	Muslim American women on campus : undergraduate social life and identity / Shabana Mir.
	EDIT-264-missing-©	990321645380306576	(OCoLC)838415643	2014	
	CHECK-ENCODING	990333740860306576	(OCoLC)880965487	Encoding level: i	All the birds, singing : a novel / Evie Wyld.
	CHECK-ENCODING	990341750710306576	(OCoLC)911063697	Encoding level: i	Giovanni's room / James Baldwin ; with an introduction by Colm Tóibín.
	CHECK-Series490-traced	990341750710306576	(OCoLC)911063697	Series statement (traced): Everyman's library ;372	
	CHECK-ENCODING	990353766960306576	(OCoLC)967133931	Encoding level: 0	Hagia Sophia : sound, space, and spirit in Byzantium / Bissera V. Pentcheva.
	CHECK-ENCODING	990356164600306576	(OCoLC)989027186	Encoding level: 0	Hurricane Katrina and the lessons of disaster relief / edited by Michael Powelson.
	EDIT-264-missing-©	990356164600306576	(OCoLC)989027186	2017	
	CHECK-ENCODING	990359148780306576	(OCoLC)1013500540	Encoding level: 0	Accountability and opportunity in higher education : the civil rights dimension / Gary Orfield, Nicholas Hillman, editors.
	CHECK-ENCODING	990362596090306576	(OCoLC)1006301989	Encoding level: i	Orlando / Sandra Simonds.
	CHECK-Series490-traced	990362596090306576	(OCoLC)1006301989	Series statement (traced): Wave Books ;068	
	CHECK-ENCODING	990362812380306576	(OCoLC)1006315104	Encoding level: i	Being Muslim : a cultural history of women of color in American Islam / Sylvia Chan-Malik.
	CHECK-ENCODING	990380105520306576	(OCoLC)1143617781	Encoding level: i	Going there : Black visual satire / Richard J. Powell.
	CHECK-Series490-traced	990380105520306576	(OCoLC)1143617781	Series statement (traced): Richard D. Cohen lectures on African & African American art series.	
	CHECK-ENCODING	990380186570306576	(OCoLC)1122720411	Encoding level: i	Piranesi / Susanna Clarke.
	CHECK-ENCODING	99383843894306576		Encoding level: 7	Why Construction Claims Occur and How to Prevent Them.
	CHECK-Series490-traced	99383843895906576	(OCoLC)905699693	Series statement (traced): Critical qualitative research,1947-5993 ;vol. 19	
	CHECK-Series490-traced	99383843897406576	(OCoLC)1227817176	Series statement (traced): Media, culture and communication in Asia-Pacific societies	
	EDIT-Geo	99383843897806576	(OCoLC)1347781340	No Geo Code; Check Bib Record for Geo Headings	Data borders : how Silicon Valley is building an industry around immigrants / Melissa Villa-Nicholas.
	CHECK-ENCODING	99383843898006576	(OCoLC)1340646034	Encoding level: i	You have to be prepared to die before you can begin to live : ten weeks in Birmingham that changed America / Paul Kix.
	EDIT-264-missing-©	99383843898006576	(OCoLC)1340646034	�2023	
	CHECK-ENCODING	99383843900006576	(OCoLC)1224045037	Encoding level: i	Prelude to Pearl Harbor : ideology and culture in US-Japan relations, 1919-1941 / John Gripentrog.
	CHECK-ENCODING	99383843903806576		Encoding level: 8	The tarot of Leonora Carrington / Leonora Carrington ; introduction by Gabriel Weisz ; contributions by Tere Arcq, Susan Aberth.
	CHECK-ENCODING	99383843904006576		Encoding level: 7	The 108 Karana: In Bharata-Natyam Dance Theatre of India.
	CHECK-ENCODING	99383843904106576	(OCoLC)48516060	Encoding level: a	Baryshnikov in black and white / [introduction by] Joan Acocella.
	CHECK-ENCODING	99383845705306576	(OCoLC)1099528779	Encoding level: 0	Vitality politics : health, debility, and the limits of black emancipation / Stephen Knadler.
	CHECK-Series490-traced	99383845705306576	(OCoLC)1099528779	Series statement (traced): Corporealities : discourses of disability	
	CHECK-ENCODING	99383846605006576	(OCoLC)1263250947	Encoding level: i	A place at the Nayarit : how a Mexican restaurant nourished a community / Natalia Molina.
	CHECK-ENCODING	99383848703906576		Encoding level: 7	Jewish-Ukrainian Relations in Late and Post-Sovi - Articles.
	EDIT-Series490-untraced	99383848703906576		Series statement (untraced): Soviet and Post-Soviet Politics and Society	
	CHECK-ENCODING	99383850001606576	(OCoLC)957533621	Encoding level: 0	Daniel Rudd : calling a church to justice / Gary B. Agee.
	CHECK-Series490-traced	99383850001606576	(OCoLC)957533621	Series statement (traced): People of God	
	CHECK-ENCODING	99383850001806576	(OCoLC)268547454	Encoding level: a	Uncommon faithfulness : the Black Catholic experience / M. Shawn Copeland, editor ; with LaReine-Marie Mosely and Albert J. Raboteau.
	CHECK-Series490-traced	99383850078606576	(OCoLC)1242599067	Series statement (traced): Potsdamer altertumswissenschaftliche Beiträge ;Band 75	
	CHECK-Series490-traced	99383850078606576	(OCoLC)1242599067	Series statement (traced): Classics	
	CHECK-MultipleSeries490	99383850078606576	(OCoLC)1242599067	Check Bib record	Engendering the future : divination and the construction of gender in the Late Roman Republic / Chris Mowat.
	CHECK-ENCODING	99383854490406576	(OCoLC)870517822	Encoding level: M	Wiley-Blackwell Handbook of Psychoneuroimmunology.
	CHECK-NonPrint	99383854490406576	(OCoLC)870517822	Check Bib record	Wiley-Blackwell Handbook of Psychoneuroimmunology.
	CHECK-Series490-traced	99383854702906576	(OCoLC)1396158203	Series statement (traced): Norton shorts	
	CHECK-ENCODING	99383856079306576	(OCoLC)1128885073	Encoding level: i	Presidential leadership in political time : reprise and reappraisal / Stephen Skowronek.
	CHECK-ENCODING	99383856086406576	(OCoLC)1346426178	Encoding level: i	The college student's research companion : finding, evaluating, and citing the resources you need to succeed / Arlene Quaratiello.
	CHECK-ENCODING	99383856093306576		Encoding level: 7	Lucayan Legacies : Indigenous Lifeways in the Bahamas and Turks and Caicos Islands / Joanna Ostapkowicz.
	CHECK-ENCODING	99383856095006576	(OCoLC)1373099825	Encoding level: i	Weathering : the extraordinary stress of ordinary life in an unjust society / Arline T. Geronimus.
	CHECK-ENCODING	99383856095206576	(OCoLC)920016431	Encoding level: i	The health gap : the challenge of an unequal world / Michael Marmot.
	CHECK-ENCODING	99383857302106576		Encoding level: 7	Career Development and Planning: A Comprehensive Approach.
	CHECK-ENCODING	99383858203706576	(OCoLC)70149251	Encoding level: 0	Core Python programming / Wesley J. Chun.
	CHECK-Series490-traced	99383858203706576	(OCoLC)70149251	Series statement (traced): Prentice Hall core seriesFOFT	
	CHECK-ENCODING	99383858801506576		Encoding level: 7	Die Flache: Design and Lettering of the Vienna Secession.
	CHECK-ENCODING	99383858802706576		Encoding level: 8	Affine differential geometry : geometry of affine immersions / Katsumi Nomizu, Takeshi Sasaki.
	EDIT-CIP	99383858802706576		Extent: ill.	Affine differential geometry : geometry of affine immersions / Katsumi Nomizu, Takeshi Sasaki.
	EDIT-Series490-untraced	99383858805206576		Series statement (untraced): Pearson modern classic	
	EDIT-Series490-untraced	99383864977706576		Series statement (untraced): Everyman's library ;405	
	CHECK-ENCODING	99383864977906576		Encoding level: 7	Poems 1962-2012.
	CHECK-ENCODING	99383864978006576	(OCoLC)1196173576	Encoding level: i	Playlist for the Apocalypse : poems / Rita Dove.
	EDIT-Series490-untraced	99383864978206576		Series statement (untraced): The Cambridge edition of the works of Virginia Woolf	
	CHECK-ENCODING	99383864978406576	(OCoLC)1178873257	Encoding level: 0	The old man and the sea / Ernest Hemingway.
	EDIT-Geo	99383864978406576	(OCoLC)1178873257	No Geo Code; Check Bib Record for Geo Headings	The old man and the sea / Ernest Hemingway.
	EDIT-Series490-untraced	99383864978906576		Series statement (untraced): Everyman's library ;388	
	CHECK-ENCODING	99383864979206576	(OCoLC)10047765	Encoding level: a	Cloud nine / by Caryl Churchill.
	EDIT-Series490-untraced	99383864979606576		Series statement (untraced): Scribner classics	
	CHECK-ENCODING	99383864980006576	(OCoLC)985966079	Encoding level: 0	Those who from afar look like flies : an anthology of Italian poetry from Pasolini to the present / edited by Luigi Ballerini and Beppe Cavatorta ; foreword by Marjorie Perloff.
	CHECK-Series490-traced	99383864980006576	(OCoLC)985966079	Series statement (traced): Lorenzo da Ponte Italian library	
	CHECK-Series490-traced	99383864980006576	(OCoLC)985966079	Series statement (traced): The Da Ponte Anthology of Italian Poetry Project ;IV.2	
	CHECK-MultipleSeries490	99383864980006576	(OCoLC)985966079	Check Bib record	Those who from afar look like flies : an anthology of Italian poetry from Pasolini to the present / edited by Luigi Ballerini and Beppe Cavatorta ; foreword by Marjorie Perloff.
	CHECK-Sets-ISBN_020Q	99383864980006576	(OCoLC)985966079	ISBN:9781442637344 144263734XQualifier:(v. 1 ; cloth)	
	CHECK-ENCODING	99383864980206576	(OCoLC)699763918	Encoding level: 0	A room with a view, Where angels fear to tread / E.M. Forster ; with an introduction by Ann Pasternak Slater.
	EDIT-Geo	99383864980206576	(OCoLC)699763918	No Geo Code; Check Bib Record for Geo Headings	A room with a view, Where angels fear to tread / E.M. Forster ; with an introduction by Ann Pasternak Slater.
	CHECK-Series490-traced	99383864980206576	(OCoLC)699763918	Series statement (traced): Everyman's library ;340FOFT	
	CHECK-ENCODING	99383864980406576	(OCoLC)847725006	Encoding level: 0	A will to believe : Shakespeare and religion / David Scott Kastan.
	CHECK-Series490-traced	99383864980406576	(OCoLC)847725006	Series statement (traced): Oxford Wells Shakespeare lectures	
	CHECK-ENCODING	99383864980606576	(OCoLC)137325279	Encoding level: a	King Hedley II : 1985 / August Wilson ; foreword by Marion McClinton ; afterword by August Wilson.
	EDIT-440	99383864980606576	(OCoLC)137325279	Series, obsolete field: The August Wilson century cycle	
	CHECK-Series490-traced	99383864980606576	(OCoLC)137325279	Series statement (traced): The August Wilson century cycleFSsNCFTaFA	
	CHECK-Sets-ISBN_020A	99383864980606576	(OCoLC)137325279	ISBN:9781559363051 1559363053 9781559363051 (alk. paper) 1559363053 (alk. paper) 9781559363075 (set) 155936307X (set)	
	CHECK-Sets-ISBN_020A	99383864980606576	(OCoLC)137325279	ISBN:9781559363051 1559363053 9781559363051 (alk. paper) 1559363053 (alk. paper) 9781559363075 (set) 155936307X (set)	
	CHECK-Sets-ISBN_020A	99383864980606576	(OCoLC)137325279	ISBN:9781559363051 1559363053 9781559363051 (alk. paper) 1559363053 (alk. paper) 9781559363075 (set) 155936307X (set)	
	CHECK-Sets-ISBN_020A	99383864980606576	(OCoLC)137325279	ISBN:9781559363051 1559363053 9781559363051 (alk. paper) 1559363053 (alk. paper) 9781559363075 (set) 155936307X (set)	
	CHECK-ENCODING	99383864981406576	(OCoLC)669191952	Encoding level: 0	Sense and sensibility / Jane Austen ; edited with an introduction by Ros Ballaster ; with the original Penguin Classics introduction by Tony Tanner.
	CHECK-Series490-traced	99383864981406576	(OCoLC)669191952	Series statement (traced): Penguin classics	
	CHECK-ENCODING	99383864981506576	(OCoLC)828505729	Encoding level: i	Pride and prejudice / Jane Austen ; edited with an introduction by Vivien Jones ; with the original Penguin Classics introduction by Tony Tanner.
	EDIT-264-missing-©	99383864981506576	(OCoLC)828505729	1996	
	CHECK-Series490-traced	99383864981506576	(OCoLC)828505729	Series statement (traced): Penguin Classics	
	CHECK-ENCODING	99383864981606576	(OCoLC)946058580	Encoding level: i	Stranger in a strange land / Robert A. Heinlein ; series introduction by Neil Gaiman.
	CHECK-Series490-traced	99383864981606576	(OCoLC)946058580	Series statement (traced): Penguin galaxy	
	CHECK-Series490-traced	99383864981606576	(OCoLC)946058580	Series statement (traced): Penguin classics	
	CHECK-MultipleSeries490	99383864981606576	(OCoLC)946058580	Check Bib record	Stranger in a strange land / Robert A. Heinlein ; series introduction by Neil Gaiman.
	CHECK-ENCODING	99383864982106576	(OCoLC)466340700	Encoding level: 0	The time machine ; The invisible man ; The war of the worlds / H.G. Wells ; with an introduction by Margaret Drabble.
	CHECK-Series490-traced	99383864982106576	(OCoLC)466340700	Series statement (traced): Everyman's library ;329	
	EDIT-Series490-untraced	99383864983506576		Series statement (untraced): Everyman's library ;59	
	CHECK-ENCODING	99383864984406576	(OCoLC)40538296	Encoding level: a	Like shaking hands with God : a conversation about writing / Kurt Vonnegut & Lee Stringer ; moderated by Ross Klavan ; foreword by Daniel Simon ; photos by Art Shay.
	CHECK-ENCODING	99383864984906576	(OCoLC)02132415	Encoding level: a	Interview with the vampire / Anne Rice.
	CHECK-ENCODING	99383864985206576	(OCoLC)20490025	Encoding level: a	The stand : the complete and uncut edition / Stephen King.
	CHECK-ENCODING	99383864986206576		Encoding level: 7	Framley Parsonage.
	EDIT-Series490-untraced	99383864986206576		Series statement (untraced): Everyman's Library Classics & Contemporary Classics	
	CHECK-ENCODING	99383864998206576		Encoding level: 8	From concept to monument : time and costs of construction in the ancient world : papers in honour of Janet Delaine / edited by Simon J. Barker, Christopher Courault, Javier Á. Domingo, Dominik Maschek.
	CHECK-300$e	99383865102006576		Accompanying:1 ebk. printed access card.	
	CHECK-ENCODING	99383865102206576		Encoding level: 7	Doppelganger: A Trip into the Mirror World.
	CHECK-ENCODING	99383865103106576		Encoding level: 8	Interpreting objects in the hybrid museum : collections and cultural policy / Helena Robinson.
	EDIT-Series490-untraced	99383865103106576		Series statement (untraced): Museums in focus	
	CHECK-ENCODING	99383865103406576	(OCoLC)1103674901	Encoding level: 5	Science museums in transition : unheard voices / edited by Hooley McLaughlin and Judy Diamond.
	CHECK-Series490-traced	99383865103406576	(OCoLC)1103674901	Series statement (traced): Museums in focus	
	CHECK-ENCODING	99383865103806576		Encoding level: 8	Natural stone and world heritage : the castles and town walls of King Edward in Gwynedd / Ruth Siddall, University College London, London, UK.
