Batch	Flag	MMS	OCLC	Details	Title
	CHECK-ENCODING	99383843897606576		Encoding level: 7	The early imperial republic : from the American Revolution to the U.S.-Mexican War / edited by Michael A. Blaakman, Emily Conroy-Krutz, and Noelani Arista.
	CHECK-Cataloging Language	99383843897606576		040-b: 	The early imperial republic : from the American Revolution to the U.S.-Mexican War / edited by Michael A. Blaakman, Emily Conroy-Krutz, and Noelani Arista.
	EDIT-Geo	99383843897606576		No Geo Code; Check Bib Record for Geo Headings	The early imperial republic : from the American Revolution to the U.S.-Mexican War / edited by Michael A. Blaakman, Emily Conroy-Krutz, and Noelani Arista.
	CHECK-Series490-traced	99383843897606576		Series statement (traced): Early American studies	
	CHECK-Cataloging Language	99383843899506576	(OCoLC)1280408132	040-b: 	Specialty food, market culture, and daily life in early modern Japan : regulating and deregulating the market in Edo, 1780-1870 / Akira Shimizu.
	CHECK-Cataloging Language	99383843900906576	(OCoLC)1373344579	040-b: 	Inscribe it in a book : scribal practice, cultural memory, and the making of the Hebrew scriptures / edited by Johannes Unsok Ro and Benjamin D. Giffone.
	CHECK-100-INDICATOR	99383843900906576	(OCoLC)1373344579	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383843900906576	(OCoLC)1373344579	245 Ind1: 0	Inscribe it in a book : scribal practice, cultural memory, and the making of the Hebrew scriptures / edited by Johannes Unsok Ro and Benjamin D. Giffone.
	CHECK-ENCODING	99383844198406576		Encoding level: 3	Leading Through Disruption : A Changemaker's Guide to Twenty-First Century Leadership.
	CHECK-Cataloging Language	99383844198406576		040-b: 	Leading Through Disruption : A Changemaker's Guide to Twenty-First Century Leadership.
	EDIT-264-missing-©	99383846602006576	(OCoLC)1373018199	[2023]	
	CHECK-ENCODING	99383847205206576		Encoding level: 3	We survived the end of the world [electronic resource] : lessons from Native America on apocalypse and hope / Steven Charleston.
	CHECK-Cataloging Language	99383847205206576		040-b: 	We survived the end of the world [electronic resource] : lessons from Native America on apocalypse and hope / Steven Charleston.
	EDIT-Geo	99383847205206576		No Geo Code; Check Bib Record for Geo Headings	We survived the end of the world [electronic resource] : lessons from Native America on apocalypse and hope / Steven Charleston.
	CHECK-ENCODING	99383848701506576	(OCoLC)1263871586	Encoding level: 3	The Immortal Maiden Equal to Heaven and Other Precious Scrolls from Western Gansu.
	CHECK-Cataloging Language	99383848701506576	(OCoLC)1263871586	040-b: 	The Immortal Maiden Equal to Heaven and Other Precious Scrolls from Western Gansu.
	CHECK-Series490-traced	99383848701506576	(OCoLC)1263871586	Series statement (traced): Cambria Sinophone World Ser.	
	CHECK-Cataloging Language	99383848701606576	(OCoLC)1321795404	040-b: 	The legend of Prince Golden Calf in China and Korea / translated and introduced by Wilt L. Idema and Allard M. Olof.
	CHECK-100-INDICATOR	99383848701606576	(OCoLC)1321795404	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383848701606576	(OCoLC)1321795404	245 Ind1: 0	The legend of Prince Golden Calf in China and Korea / translated and introduced by Wilt L. Idema and Allard M. Olof.
	CHECK-Series490-traced	99383848701606576	(OCoLC)1321795404	Series statement (traced): Cambria sinophone world series	
	CHECK-Cataloging Language	99383848703506576	(OCoLC)1141199940	040-b: 	Fate and prognostication in the Chinese literary imagination / edited by Michael Lackner [and three others].
	EDIT-Series490-untraced	99383848703506576	(OCoLC)1141199940	Series statement (untraced): Prognostication in History ;Volume 4	
	CHECK-ENCODING	99383848705206576		Encoding level: 7	The unheard stories of the Rohingyas : ethnicity, diversity and media / AKM Ahsan Ullah and Diotima Chattoraj ; with a foreword by Shahidul Haque.
	CHECK-Cataloging Language	99383848705206576		040-b: 	The unheard stories of the Rohingyas : ethnicity, diversity and media / AKM Ahsan Ullah and Diotima Chattoraj ; with a foreword by Shahidul Haque.
	EDIT-Geo	99383848705206576		No Geo Code; Check Bib Record for Geo Headings	The unheard stories of the Rohingyas : ethnicity, diversity and media / AKM Ahsan Ullah and Diotima Chattoraj ; with a foreword by Shahidul Haque.
	CHECK-ENCODING	99383849998606576	(OCoLC)1351750933	Encoding level: 8	Expatriation and migration: two faces of the same coin / edited by Sylvain Beck.
	CHECK-Cataloging Language	99383849998606576	(OCoLC)1351750933	040-b: 	Expatriation and migration: two faces of the same coin / edited by Sylvain Beck.
	EDIT-Series490-untraced	99383849998606576	(OCoLC)1351750933	Series statement (untraced): International comparative social studies,15684474 ;vol.55	
	CHECK-Cataloging Language	99383850000806576		040-b: 	Scholars in COVID times / edited by Melissa Castillo Planas and Debra A. Castillo.
	CHECK-100-INDICATOR	99383850000806576		Ind1:  , Ind2:  	
	EDIT-245Ind1	99383850000806576		245 Ind1: 0	Scholars in COVID times / edited by Melissa Castillo Planas and Debra A. Castillo.
	EDIT-Series490-untraced	99383850000806576		Series statement (untraced): Publicly engaged scholars: identities, purposes, practices	
	CHECK-Cataloging Language	99383850004006576	(OCoLC)1349280712	040-b: 	The nonprofit strategy revolution : real-time strategic planning in a rapid-response world / David La Piana.
	CHECK-Cataloging Language	99383850004606576		040-b: 	Treatise on the whole-world / by Édouard Glissant ; translated by Celia Britton.
	CHECK-Series490-traced	99383850004606576		Series statement (traced): The Glissant translation project	
	CHECK-Series490-traced	99383850005006576	(OCoLC)1352969394	Series statement (traced): The Glissant Translation Project	
	CHECK-ENCODING	99383850077706576	(OCoLC)1111941270	Encoding level: K	Leadership and systems improvement for the DNP / Gail E. Armstrong, Sharon Sables-Baus, editors.
	CHECK-ENCODING	99383850102906576	(OCoLC)1204135574	Encoding level: M	Career Development and Counseling [electronic resource] : Putting Theory and Research to Work.
	CHECK-Cataloging Language	99383853304006576	(OCoLC)1229920382	040-b: 	Principles and practice of college health / edited by John A. Vaughn, Anthony J. Viera.
	CHECK-ENCODING	99383853404806576		Encoding level: 3	'Twilight of the Idols' and Nietzsche's Late Philosophy: Toward a Revaluation of Values [electronic resource].
	CHECK-Cataloging Language	99383853404806576		040-b: 	'Twilight of the Idols' and Nietzsche's Late Philosophy: Toward a Revaluation of Values [electronic resource].
	EDIT-ISBN_20a-to-z	99383853404806576		020a: 1350329401 (Cloth)	
	CHECK-Cataloging Language	99383853703906576	(OCoLC)1378389189	040-b: 	Essentials of biostatistics in public health / Lisa M. Sullivan.
	CHECK-Cataloging Language	99383853802706576		040-b: 	For the culture : the power behind what we buy, what we do, and who we want to be / Marcus Collins.
	CHECK-Cataloging Language	99383854099906576	(OCoLC)1306056974	040-b: 	Event success : maximizing the business impact of in-person, virtual, and hybrid experiences / Alon Alroy, Eran Ben-Shushan, and Boaz Katz.
	CHECK-ENCODING	99383854100606576		Encoding level: 7	Agriculture and Rural Development Planning : a Process in Transition.
	CHECK-Cataloging Language	99383854100606576		040-b: 	Agriculture and Rural Development Planning : a Process in Transition.
	EDIT-Geo	99383854100606576		No Geo Code; Check Bib Record for Geo Headings	Agriculture and Rural Development Planning : a Process in Transition.
	EDIT-Series490-untraced	99383854100606576		Series statement (untraced): King's SOAS Studies in Development Geography	
	CHECK-Cataloging Language	99383854491906576	(OCoLC)903972030	040-b: 	Environmental and human health : risk management in developing countries / editors, Eddie N. Laboy-Nieves, Mattheus F.A. Goosen, Evens Emmanuel.
	CHECK-100-INDICATOR	99383854491906576	(OCoLC)903972030	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383854491906576	(OCoLC)903972030	245 Ind1: 0	Environmental and human health : risk management in developing countries / editors, Eddie N. Laboy-Nieves, Mattheus F.A. Goosen, Evens Emmanuel.
	CHECK-Cataloging Language	99383854502706576		040-b: 	Investigating families : motherhood in the shadow of child protective services / Kelley Fong.
	EDIT-Geo	99383854502706576		No Geo Code; Check Bib Record for Geo Headings	Investigating families : motherhood in the shadow of child protective services / Kelley Fong.
	CHECK-Cataloging Language	99383854701606576		040-b: 	Understanding cultural policy / Carole Rosenstein.
	CHECK-Cataloging Language	99383856079506576	(OCoLC)948170205	040-b: 	DisCrit : disability studies and critical race theory in education / David J. Connor, Beth A. Ferri, and Subini A. Annamma, editors.
	CHECK-100-INDICATOR	99383856079506576	(OCoLC)948170205	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383856079506576	(OCoLC)948170205	245 Ind1: 0	DisCrit : disability studies and critical race theory in education / David J. Connor, Beth A. Ferri, and Subini A. Annamma, editors.
	CHECK-Series490-traced	99383856079506576	(OCoLC)948170205	Series statement (traced): Disability, Culture, and Equity Series	
	CHECK-ENCODING	99383856080106576	(OCoLC)987437523	Encoding level: 3	Remixing multiliteracies [electronic resource] : theory and practice from New London to New Times / edited by Frank Serafini, Elisabeth Gee.
	CHECK-Cataloging Language	99383856080106576	(OCoLC)987437523	040-b: 	Remixing multiliteracies [electronic resource] : theory and practice from New London to New Times / edited by Frank Serafini, Elisabeth Gee.
	CHECK-100-INDICATOR	99383856080106576	(OCoLC)987437523	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383856080106576	(OCoLC)987437523	245 Ind1: 0	Remixing multiliteracies [electronic resource] : theory and practice from New London to New Times / edited by Frank Serafini, Elisabeth Gee.
	CHECK-Series490-traced	99383856080106576	(OCoLC)987437523	Series statement (traced): Language and literacy series	
	CHECK-Cataloging Language	99383858801906576	(OCoLC)1041108928	040-b: 	QCA with R : a comprehensive resource / Adrian Duşa.
	CHECK-Cataloging Language	99383864969006576		040-b: 	Modest_witness@second_millennium. femaleman_meets_oncomouse : feminism and technoscience / by Donna J. Haraway and Thyrza Goodeve.
	CHECK-ENCODING	99383865091406576		Encoding level: 3	Rome and Byzantium in the Visigothic Kingdom: Beyond Imitatio Imperii [electronic resource].
	CHECK-Cataloging Language	99383865091406576		040-b: 	Rome and Byzantium in the Visigothic Kingdom: Beyond Imitatio Imperii [electronic resource].
	EDIT-ISBN_20a-to-z	99383865091406576		020a: 9463726411 (Cloth)	
	CHECK-Cataloging Language	99383865094306576	(OCoLC)1396064243	040-b: 	REITs for Dummies / Brad Thomas.
	CHECK-Cataloging Language	99383865100706576	(OCoLC)720076762	040-b: 	Science fiction prototyping [electronic resource] : designing the future with science fiction / Brian David Johnson.
	CHECK-Series490-traced	99383865100706576	(OCoLC)720076762	Series statement (traced): Synthesis lectures on computer science,1932-1228 ;3	
	CHECK-Cataloging Language	99383865101206576	(OCoLC)1241449524	040-b: 	The thief in the classroom : how school funding is misdirected, disconnected, and ideologically aligned / Jeff Swensson, Lynn Lehman, and John Ellis.
	CHECK-ENCODING	99383865101806576	(OCoLC)1001968856	Encoding level: 8	Reaching and teaching students in poverty : strategies for erasing the opportunity gap / Paul C. Gorski.
	EDIT-Series490-untraced	99383865101806576	(OCoLC)1001968856	Series statement (untraced): Multicultural Education Series	
	CHECK-Cataloging Language	99383865104606576		040-b: 	The Routledge companion to Michael Chekhov / [edited by] Marie-Christine Autant-Mathieu and Yana Meerzon.
	CHECK-100-INDICATOR	99383865104606576		Ind1:  , Ind2:  	
	EDIT-245Ind1	99383865104606576		245 Ind1: 0	The Routledge companion to Michael Chekhov / [edited by] Marie-Christine Autant-Mathieu and Yana Meerzon.
	CHECK-Cataloging Language	99383865104806576		040-b: 	Songwriters of the American musical theatre : a style guide for singers / Nathan Hurwitz.
	CHECK-Cataloging Language	99383865500206576		040-b: 	Aromas of Asia : Exchanges, Histories, Threats / edited by Hannah Gould and Gwyn McClelland.
	CHECK-100-INDICATOR	99383865500206576		Ind1:  , Ind2:  	
	EDIT-Geo	99383865500206576		No Geo Code; Check Bib Record for Geo Headings	Aromas of Asia : Exchanges, Histories, Threats / edited by Hannah Gould and Gwyn McClelland.
	EDIT-245Ind1	99383865500206576		245 Ind1: 0	Aromas of Asia : Exchanges, Histories, Threats / edited by Hannah Gould and Gwyn McClelland.
	EDIT-264-missing-©	99383865500206576		&copy;[2023]	
	EDIT-Series490-untraced	99383865500206576		Series statement (untraced): Perspectives on sensory history	
	CHECK-Cataloging Language	99383926895606576	(OCoLC)1371143950	040-b: 	Not too late : changing the climate story from despair to possibility / edited by Rebecca Solnit and Thelma Young-Lutunatabua.
	CHECK-100-INDICATOR	99383926895606576	(OCoLC)1371143950	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383926895606576	(OCoLC)1371143950	245 Ind1: 0	Not too late : changing the climate story from despair to possibility / edited by Rebecca Solnit and Thelma Young-Lutunatabua.
	CHECK-ENCODING	99383926896706576		Encoding level: 7	The malleable body : Surgeons, artisans, and amputees in early modern Germany.
	CHECK-Cataloging Language	99383926896706576		040-b: 	The malleable body : Surgeons, artisans, and amputees in early modern Germany.
	EDIT-Geo	99383926896706576		No Geo Code; Check Bib Record for Geo Headings	The malleable body : Surgeons, artisans, and amputees in early modern Germany.
	EDIT-245Ind2	99383926896706576		245 Ind2: 0 Title: The malleable body :	
	EDIT-264-missing-©	99383926896706576		2023.	
	CHECK-Series490-traced	99383926896706576		Series statement (traced): Social histories of medicine	
	CHECK-ENCODING	99383927000906576		Encoding level: 3	Ways to disappear [electronic resource] : stories / Victoria Lancelotta.
	CHECK-Cataloging Language	99383927000906576		040-b: 	Ways to disappear [electronic resource] : stories / Victoria Lancelotta.
	CHECK-ENCODING	99383927001106576	(OCoLC)1385452319	Encoding level: 3	Liminality of Justice in Trauma and Trauma Literature.
	CHECK-Cataloging Language	99383927001106576	(OCoLC)1385452319	040-b: 	Liminality of Justice in Trauma and Trauma Literature.
	CHECK-Cataloging Language	99383927001206576		040-b: 	Reconstructing response to student writing : a national study from across the curriculum / Dan Melzer.
	CHECK-Series490-traced	99383927002106576	(OCoLC)1347265819 (OCoLC)cis064921465	Series statement (traced): Radium Age book series	
	CHECK-ENCODING	99383927003106576	(OCoLC)1396695982	Encoding level: 3	Land of milk and honey [electronic resource] / C Pam Zhang.
	CHECK-Cataloging Language	99383927003106576	(OCoLC)1396695982	040-b: 	Land of milk and honey [electronic resource] / C Pam Zhang.
	CHECK-Cataloging Language	99383965300306576	(OCoLC)1373343202	040-b: 	How learning works : eight research-based principles for smart teaching / Marsha C. Lovett [and four others].
	CHECK-ENCODING	99383970704806576	(OCoLC)1388501489 (OCoLC)cis066562836	Encoding level: 7	Spoils in the Roman Republic [electronic resource] : Boon and Bane.
	EDIT-Contents	99383970704806576	(OCoLC)1388501489 (OCoLC)cis066562836	Edit bib record	
	CHECK-ENCODING	99383970904606576	(OCoLC)1402736642	Encoding level: 7	Water for all [electronic resource] : global solutions for a changing climate / David Sedlak.
	CHECK-Cataloging Language	99383970904606576	(OCoLC)1402736642	040-b: 	Water for all [electronic resource] : global solutions for a changing climate / David Sedlak.
	CHECK-ENCODING	99383970904706576		Encoding level: 3	The New City : How to Build Our Sustainable Urban Future.
	CHECK-Cataloging Language	99383970904706576		040-b: 	The New City : How to Build Our Sustainable Urban Future.
	CHECK-Cataloging Language	99383970905006576	(OCoLC)1291314918	040-b: 	Sing & sign for young children : a guide for early childhood professionals / by Anne Meeker Watson.
	CHECK-Cataloging Language	99383971204506576	(OCoLC)1401056084	040-b: 	Closing the Urban-Rural Power Divide : Envisioning a United City-States of America / Thor Hogan.
	CHECK-Cataloging Language	99383975203006576	(OCoLC)73704782	040-b: 	Youth media [electronic resource] / Bill Osgerby.
	EDIT-ISBN_20a-to-z	99383975203006576	(OCoLC)73704782	020a: 0415238080 (pbk.)	
	CHECK-Series490-traced	99383975203006576	(OCoLC)73704782	Series statement (traced): Routledge introductions to media and communications	
	EDIT-ISBN_20a-to-z	99383975203106576	(OCoLC)777948297	020a: 9780813553870 (hardcover : alk. paper)	
	EDIT-ISBN_20a-to-z	99383975203106576	(OCoLC)777948297	020a: 0813553873 (hardcover : alk. paper)	
	EDIT-ISBN_20a-to-z	99383975203106576	(OCoLC)777948297	020a: 9780813553863 (pbk. : alk. paper)	
	EDIT-ISBN_20a-to-z	99383975203106576	(OCoLC)777948297	020a: 0813553865 (pbk. : alk. paper)	
	CHECK-ENCODING	99383977702706576	(OCoLC)1372369182 (OCoLC)cis065996014	Encoding level: 7	Cyber deception [electronic resource] : techniques, strategies, and human aspects / Tiffany Bao, Milind Tambe, Cliff Wang, editors.
	CHECK-100-INDICATOR	99383977702706576	(OCoLC)1372369182 (OCoLC)cis065996014	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383977702706576	(OCoLC)1372369182 (OCoLC)cis065996014	245 Ind1: 0	Cyber deception [electronic resource] : techniques, strategies, and human aspects / Tiffany Bao, Milind Tambe, Cliff Wang, editors.
	CHECK-Series490-traced	99383977702706576	(OCoLC)1372369182 (OCoLC)cis065996014	Series statement (traced): Advances in information security ;89	
	CHECK-Cataloging Language	99383977703306576	(OCoLC)1393305107	040-b: 	Technology and medicine : shaping modern healthcare / Bengt Nielsen.
	CHECK-ENCODING	99383980803106576	(OCoLC)1206394463 (OCoLC)cis059142734	Encoding level: 7	Challenging OCD in young people with ASD : a CBT manual for therapists / Amita Jassi.
	CHECK-Cataloging Language	99383980804506576	(OCoLC)1317329632	040-b: 	Digital health care : perspectives, applications, and cases / Phillip Olla, Joseph Tan.
	CHECK-ENCODING	99383980805006576		Encoding level: 7	AI and machine learning for network and security management / Yulei Wu, Jingguo Ge and Tong Li.
	CHECK-Cataloging Language	99383980805006576		040-b: 	AI and machine learning for network and security management / Yulei Wu, Jingguo Ge and Tong Li.
	CHECK-Series490-traced	99383980805006576		Series statement (traced): IEEE Press series on networks and services management	
	CHECK-Cataloging Language	99383980897706576	(OCoLC)1350791403	040-b: 	Ecotourism and Indonesia's primates / edited by Sharon L. Gursky, Jatna Supriatna, and Angela Achorn.
	CHECK-100-INDICATOR	99383980897706576	(OCoLC)1350791403	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383980897706576	(OCoLC)1350791403	245 Ind1: 0	Ecotourism and Indonesia's primates / edited by Sharon L. Gursky, Jatna Supriatna, and Angela Achorn.
	CHECK-Cataloging Language	99383999303006576	(OCoLC)1204141941	040-b: 	Handbook of research on global challenges for improving public services and government operations / Cenay Babaoğlu, Elvettin Akman, Onur Kulac̦.
	CHECK-Series490-traced	99383999303006576	(OCoLC)1204141941	Series statement (traced): Advances in public policy and administration (APPA) book series	
	CHECK-Cataloging Language	99383999303406576	(OCoLC)1227392681	040-b: 	Impact of political socialization on the support for democratic principles : emerging research and opportunities / Allison Clark Ellis.
	CHECK-Cataloging Language	99383999303606576	(OCoLC)1127267989	040-b: 	Non-nuclear peace : beyond the nuclear ban treaty / Tom Sauer, Jorg Kustermans, Barbara Segaert, editors.
	CHECK-Series490-traced	99383999303606576	(OCoLC)1127267989	Series statement (traced): Rethinking Peace and Conflict Studies	
	CHECK-Cataloging Language	99383999304006576	(OCoLC)1127182933	040-b: 	Practical lessons from US foreign policy : the itinerant years / James E. Goodby, Kenneth Weisbrode.
	CHECK-Cataloging Language	99383999304506576		040-b: 	Why do we still have the electoral college? / Alexander Keyssar.
	EDIT-Geo	99383999304506576		No Geo Code; Check Bib Record for Geo Headings	Why do we still have the electoral college? / Alexander Keyssar.
	CHECK-ENCODING	99383999397106576		Encoding level: 3	Computational Aspects of Psychometric Methods : With R.
	CHECK-Cataloging Language	99383999397106576		040-b: 	Computational Aspects of Psychometric Methods : With R.
	CHECK-Series490-traced	99383999397106576		Series statement (traced): Chapman and Hall/CRC Statistics in the Social and Behavioral Sciences Series	
	CHECK-Cataloging Language	99383999803506576	(OCoLC)1357016099	040-b: 	Model United Nations : a practical guide / Anna-Theresia Krein ; with contributions by Josephin Paula Rönker.
	EDIT-Series490-untraced	99383999803506576	(OCoLC)1357016099	Series statement (untraced): Springer texts in political science and international relations	
	CHECK-ENCODING	99383999902106576	(OCoLC)1350079688 (OCoLC)cis064999832	Encoding level: 7	Hacker, influencer, faker, spy : intelligence agencies in the digital age / Robert Dover.
	CHECK-Cataloging Language	99383999902206576	(OCoLC)1346358522	040-b: 	Campaigns, elections, and the threat to democracy : what everyone needs to know / Dennis W. Johnson.
	CHECK-Series490-traced	99383999902206576	(OCoLC)1346358522	Series statement (traced): What Everyone Needs to Know	
	CHECK-ENCODING	99383999903206576	(OCoLC)1347024418	Encoding level: 3	Primary elections and American politics [electronic resource] : the unintended consequences of Progressive era reform / Chapman Rackaway and Joseph Romance.
	CHECK-Cataloging Language	99383999903206576	(OCoLC)1347024418	040-b: 	Primary elections and American politics [electronic resource] : the unintended consequences of Progressive era reform / Chapman Rackaway and Joseph Romance.
	CHECK-Cataloging Language	990218132530306576	(OCoLC)50175377	040-b: 	Media ethics [electronic resource] / edited by Matthew Kieran.
	CHECK-Cataloging Language	99383818096406576	(OCoLC)815970139	040-b: 	When the opposite sex isn't [electronic resource] : sexual orientation in male-to-female transgender people / Sandra L. Samons.
	EDIT-ISBN_20a-to-z	99383818096406576	(OCoLC)815970139	020a: 9780789034465 (hardbound : alk. paper)	
	EDIT-ISBN_20a-to-z	99383818096406576	(OCoLC)815970139	020a: 0789034468 (hardbound : alk. paper)	
	EDIT-ISBN_20a-to-z	99383818096406576	(OCoLC)815970139	020a: 9780789034472 (pbk. : alk. paper)	
	EDIT-ISBN_20a-to-z	99383818096406576	(OCoLC)815970139	020a: 0789034476 (pbk. : alk. paper)	
	CHECK-ENCODING	99383818097306576		Encoding level: 7	The Athenian Agora : site guide / John McK. Camp II ; with photographs by Craig A. Mauzy.
	CHECK-Cataloging Language	99383818097306576		040-b: 	The Athenian Agora : site guide / John McK. Camp II ; with photographs by Craig A. Mauzy.
	EDIT-Geo	99383818097306576		No Geo Code; Check Bib Record for Geo Headings	The Athenian Agora : site guide / John McK. Camp II ; with photographs by Craig A. Mauzy.
	EDIT-264-missing-©	99383818097306576		�2010	
	CHECK-Cataloging Language	99383818097406576		040-b: 	Star wars / Will Brooker.
